english,francais
review,réévaluation
minute,min
attentively,attentivement
drew,drew
Considering,considérer
offenders,contrevenant
talk,discours
eliminate,de
reasons,cause
chapeau,casquette
guarantees,garantie
relying,avoir_foi
constant,constant
transported,transport
Obviously,apparemment
application,application
known,connaître
hierarchical,hiérarchique
execution,exécution
precisely,exactement
bill,action
publicity,annonce
citing,appeler
cooperation,collaboration
margins,frontière
rejection,refus
subject,matière
resistance,opposition
registration,enregistrement
welcome,bienvenu
content,contenu
sustainability,durabilité
Conference,conférence
hype,surmédiatisation
version,version
ideas,idée
arisen,apparaître
diet,alimentation
inclusion,inclusion
prevented,empêcher
Jackson,Glenda_Jackson
identified,identifier
traffic,trafic
Preferences,goût
norm,norme
Regarding,considérer
eastward,est
expound,développer
reacting,réagir
pick,choix
encourage,améliorer
sincerity,sincérité
slowly,aisément
open,libre
Members,membre
directorate,conseil_d'administration
conservation,conservation
papers,document
innovations,innovation
15,quinze
understood,appréhender
airspace,espace_aérien
made,aller
perspective,perspective
ship,bateau
appropriately,convenablement
converging,convergence
staked,aventurer
pretext,couvert
Decades,décennie
inflict,appliquer
hospitals,hôpital
intends,avoir_l'intention
determined,déterminer
improvement,amélioration
trust,propriété_fiduciaire
Europe,Europe
arm,arme
Having,avoir
stress,accent
auditing,examiner
due,cause
Atomic,atomique
earth,terre
territory,circonscription
hectares,hectare
physical,physique
Carriage,carrosse
elaboration,élaboration
brief,cause
accompanying,accompagner
door,huis
school,école
correctly,correctement
degree,degré
Green,vert
limitations,restriction
pondered,méditer
detecting,détection
upheaval,à-coup
oral,oral
shortage,déficit
production,production
flag,étendard
structures,construction
Agency,administration_fédérale
advantages,avantage
everywhere,partout
obviously,apparemment
Greeks,grec
tightening,durcissement
democratic,démocratique
sense,absurde
response,conséquence
appropriations,crédit
logical,logique
biodiversity,biodiversité
productivity,productivité
implement,instrument
inaugural,inaugural
repair,réparation
attempted,chercher
abnormal,anormal
uncertainty,aléa
federalism,fédéralisme
dealing,traitant
evidenced,assurer
audience,audience
write,composer
asking,demande
adopted,adopter
studied,analyser
witnessing,assister
cost,coût
stakeholders,agent_d'entiercement
haste,hâte
Americans,Américain
flexible,flexible
torture,torture
hole,cavité
doubtless,assurément
Wide,ample
listened,écouter
interpret,analyser
illegal,illégal
redevelopment,rénovation
programmes,programme
offer,offre
harming,détériorer
deemed,assimiler
fear,crainte
inject,injecter
persecution,persécution
bid,commande
Transparency,transparence
setting,scène
ends,bout
downturn,déclin
attractions,attraction
system,dispositif
limit,limite
wave,onde
sector,secteur
million,1000000
wording,libellé
invite,inviter
freedom,liberté
boost,encouragement
pancakes,crêpe
populations,population
forestry,foresterie
waiting,attendre
dimension,dimension
worrying,tourment
mitigate,atténuer
sank,descendre
track,chemin
protocol,protocole
examining,analyser
contrast,contraste
assessing,apprécier
Russia,15_républiques
squash,courge
Agriculture,agribusiness
bureaucracy,bureaucratie
At,astate
seeing,vue
virtually,presque
sign,point
Organisation,administration
irradiation,irradiation
Wednesday,mercredi
an,à
classed,classer
basically,basiquement
engineer,ingénieur
warmly,amicalement
societies,société
former,ancien
prime,nombre_premier
volunteers,bénévole
watered,abreuver
investors,investisseur
overlap,intersection
plus,actif
jointly,conjointement
person,être_humain
prosecution,ministère
viewed,considérer
arrangements,accord
materials,matériau
justify,justifier
legitimacy,légitimation
reality,monde
virtue,vertu
frequently,beaucoup
defects,défaut
chocolate,cacao
left,gauche
interpreted,analyser
rallied,tabasser
certainty,certitude
integrating,déségrégation
raged,orage
heritage,héritage
planning,planification
500,cinq_cents
shipwrecks,épave
supply,approvisionnement
capabilities,aptitude
marshes,marais
lead,plomb
consult,consulter
paying,acquitter
continuous,continu
envisaged,contempler
managing,gérer
perceptible,perceptible
bad,mal
beaches,plage
acceptable,acceptable
threatens,compromettre
exodus,exode
goal,but
values,valeurs
die,dé
draconian,draconien
Sixth,sixième
tested,essayer
profits,bénéfice
Just,juste
account,chronique
millennium,millénaire
choice,choix
border,frontière
obtained,acquérir
breaking,cassure
30,30
strictly,strictement
undertaking,entreprise
exist,être
manufacturers,fabricant
reduced,diminuer
Agreement,abord
thick,gros
compliment,compliment
recouping,reprendre
Mexico,États-Unis_mexicains
regulations,disposition
modify,adapter
effective,effectif
efficiency,efficacité
marks,Marks
swiftly,rapidement
Directorate,conseil_d'administration
thirdly,tertio
unlike,différent
supervised,accompagner
not,ne
frequent,fréquent
game,catch
Austria,Autriche
speculation,conjecture
behaviour,comportement
adequate,adéquat
adapted,accommoder
important,important
exactly,exactement
Equally,aussi
sixties,années_1960
centralised,concentrer
steps,escalier
procession,émanation
Alsace,Alsace
tendency,tendance
reserve,modestie
smooth,lisse
Own,avoir
plant,fabrique
wide,ample
dedicating,consacrer
directly,direct
Federalism,fédéralisme
aeroplane,aéroplane
conjunction,coïncidence
just,juste
manner,façon
vary,changer
seabirds,oiseau_de_mer
latter,ce_dernier
walk,marche
ratings,évaluation
confidence,autorité
deeply,profondément
matter,affaire
tolerable,tolérable
board,conseil
synergies,synergie
accordance,accord
disasters,catastrophe
transcend,dépasser
Lutherans,luthérien
An,à
office,bureau
packages,colis
Exemptions,dérogation
community,communauté
store,boutique
supported,soutenir
causing,causation
seeking,quête
analyses,analyse
functions,fonction
provides,fournir
water,eau
either,non_plus
boat,bateau
courts,cour
consequence,cause
defence,défense
bridges,Bridges
crop,culture
irreparably,irrémédiablement
idiot,abruti
statute,loi
coupled,allumette
became,devenir
draft,brouillon
win,gagnant
billion,bill
agenda,calendrier
agents,agent
Before,antérieurement
transitional,provisoire
abstentions,abstention
repeatedly,constamment
exercise,exercice
argues,affirmer
closure,fermeture
session,séance
thousands,chiliade
performances,exécution
monitors,moniteur
obligatory,obligatoire
ecological,écologique
intensive,intensif
facts,fait
philosophical,philosophique
interfere,entraver
then,alors
hence,ainsi
publish,carrer
communicate,communiquer
code,code
Are,ar
nights,nuit
investor,investisseur
shipyards,chantier_naval
50,cinquante
Particular,particulier
incomes,revenu
challenged,contredire
Society,société
regard,aspect
refers,appeler
noticed,analyser
contracts,contracter
introduction,accès
individually,distinctement
incoming,entrée
crew,équipage
registering,enregistrer
similar,analogue
Officials,cadre
respected,apprécier
Bulgaria,Bulgarie
Scientific,scientifique
suspicion,intuition
contaminants,contamination
medium,medium
Justice,justice
Breton,breton
front,avant
onwards,en_avant
conducted,mener
interventions,intervention
Switzerland,Confédération_suisse
true,vrai
secondly,deuxième
considering,considérer
who,ce_qui
comprehend,appréhender
complaint,infirmité
Geneva,canton
fashion,façon
recession,récession
nation,contrée
recognition,reconnaissance
years,âge
infrastructure,infrastructure
shopping,chalandage
repeat,dire
deterrent,dissuasif
reflects,correspondre
11,ksi
governing,administration
People,gens
networks,réseau
addresses,adresse
nothing,néant
briefing,réunion_préparatoire
involve,affecter
Concentrating,axer
honestly,carrément
muss,chaos
confirms,accoter
administrative,administratif
incorporate,incorporer
falling,tomber
transplanted,passer
administration,administration
determine,déterminer
fishermen,pêcheur
centres,centre
appears,avoir_l’air_de
dragging,traîner
reconstruction,la_Reconstruction
enquiries,question
Russian,russe
possibilities,éventualité
buckets,bac
Thus,encens
utter,exprimer
performance,exécution
incidences,incidence
throwing,jeter
postponed,différer
Why,pourquoi
pool,pool
approach,accès
commitment,engagement
ranging,courir
stressed,souligner
Firstly,d'abord
acknowledges,admettre
perpetrators,auteur
decides,décider
standardised,harmoniser
stage,étape
Guidance,avis
farmer,agriculteur
internationally,internationalement
disbursement,dépense
Firms,entreprise
tanks,char_de_combat
radical,groupe
preclude,empêcher
deployment,déploiement
accomplished,aboutir
realise,comprendre
establishing,établir
sorely,cruellement
indirectly,indirectement
extended,creuser
advantage,avantage
observed,analyser
imply,connoter
harbours,abriter
cargo,cargaison
guideline,directive
b,bacille
round,cycle
gases,gaz
Bush,arbrisseau
etc.,et_ainsi_de_suite
equitable,équitable
devoted,consacrer
safe,coffre-fort
employed,servir
Casablanca,Casablanca
whispering,chuchoter
raise,augmentation
dismantling,démantèlement
promises,promesse
discerning,adopter
approval,agrément
clauses,clause
collaboration,collaboration
rapporteur,rapporteur
Brandenburg,Brandebourg
superficial,superficiel
moor,Maure
earthquakes,séisme
line,ligne
municipalities,cité
frequency,fréquence
imbalances,déséquilibre
articles,article
coup,coup
Communities,communauté
proclaim,proclamer
primitive,primitif
nevertheless,cependant
reducing,réduction
peninsula,péninsule
weakest,faible
refuse,ordure
evenings,soir
officials,cadre
cold,froid
fighting,bataille
simplified,réduire
succeeded,arriver
crises,crise
interference,ingérence
Oil,huile
apparatus,appareil
helmets,casque
solutions,solution
funding,appui
requested,appeler
third,tierce
lovely,covergirl
notify,conseiller
nominees,candidat
category,catégorie
outs,attention
happiness,bonheur
us,Amérique
proposes,conseiller
compromising,compromis
research,recherche
Employment,chômage
tradition,tradition
lose,paumer
study,étude
finish,fin
pursues,bénéficier
few,peu
hear,entendre
implementing,appliquer
tankers,navire-citerne
forces,force
eye,il
priority,préséance
firstly,d'abord
Nothing,néant
commerce,commerce
noon,midi
spokesperson,interprète
completion,achèvement
modules,faculté
judiciary,banc
NATO,Organisation_du_traité_de_l'Atlantique_Nord
businesses,entreprise
acts,Actes_des_Apôtres
shield,bouclier
mammoth,mammouth
dropped,causer
early,antérieur
puzzled,abasourdir
upheld,confirmer
Alexander,Alexandre
whole,ensemble
endeavours,effort
inadequacies,carence
resorted,recourir
strictness,sévérité
safety,sécurité
requests,demande
acceptance,acceptation
general,général
issued,éditer
predecessor,précédent
proposing,conseiller
sound,son
Supporting,appui
endure,accomplir
pipeline,bouche_à_oreille
realising,comprendre
accommodated,adapter
harmed,détériorer
touches,toucher
complement,complémentarité
unacceptably,inacceptablement
Government,gouvernement
Sometimes,des_fois
book,livre
Internal,intérieur
arrangement,accord
applying,servir
commercial,commercial
trees,arbre
diplomatic,diplomatique
look,air
enlargement,accroissement
anonymously,anonymement
Strasbourg,Strasbourg
wait,attendre
professions,communauté
obliging,contraindre
Cyprus,Chypre
thrive,bôme
things,affaire
President,président
clarifications,clarification
guiding,conduire
attracted,allécher
concern,intérêt
women,femme
daily,jour
fellow,gars
empty,vide
rigorously,proprement
anathema,anathème
flexibility,flexibilité
voluntary,bénévole
action,action
apply,servir
awaited,attendre
forcefully,énergiquement
item,élément
cake,bar
opt,choisir
reproduce,reproduire
Chairman,président
frost,gel
customs,coutume
managerial,managérial
south-east,sud-est
room,local
will,testament
connected,attacher
tend,avoir_tendance_à
merchant,commerçant
inevitably,absolument
Mrs,Mme
Men,actif
desire,désir
five,10
rebuild,reconstruire
looked,regarder
compromises,compromis
underpins,appuyer
plainly,apparemment
pleased,s'il_te_plaît
combatant,bagarreur
gears,engrenage
resource,ressource
inform,informer
bank,banque
Olympic,olympique
persuades,convaincre
succession,séquence
Health,bien-être
compensate,compenser
supervise,accompagner
historical,historique
Ships,bateau
resumed,recommencer
Delegation,commission
credit,crédit
speakers,haut-parleur
obligations,devoir
December,décembre
4,10
displaying,afficher
transporting,transport
shoulder,épaule
Consumers,consommateur
Take,commission
tiger,tigre
craft,commerce
crash,choc
timber,bois
grass,herbe
pressure,pression
initiation,induction
wants,manque
decisively,résolument
Procedure,procédure
sailors,marin
analysed,analyser
instigating,agacer
Dam,barrage
Criminal,criminel
ceasing,arrêter
cabling,câble
shipowners,Compagnie_maritime
small,jeune
differentiating,différencier
Tuesday,mardi
weakness,carence
Legal,légal
needed,demander
vessels,vaisseau
shape,forme
contradiction,contradiction
associated,associer
disagreed,différencier
carries,œuvre
10,décennie
standardising,harmoniser
coming,accès
essential,besoin
evolve,développer
changed,changer
compensated,compenser
sides,côté
commissioning,commission
tanker,navire-citerne
pillars,pilier
Kosovo,Cossovo
dynamics,cinétique
mixed,combiner
name,dénomination
12,12
rests,équilibre
relating,associer
reforestation,reboisement
Is,être
financial,financier
hat,casquette
terminating,finir
down,duvet
Post,emploi
Empress,impératrice
crossed,parcourir
transparency,transparence
differing,différer
enumeration,énumération
black,galeux
launched,établir
chairman,président
anchor,ancre
called,appeler
fine-tuned,polir
lesson,leçon
junkies,accro
considerably,amplement
Nuclear,atomique
protect,assurer
EU,Eu
harmonising,correspondre
firm,entreprise
specifics,particulier
disbursed,débourser
threat,menace
contains,comprendre
speaks,exprimer
WTO,OMC
interaction,interaction
leaving,départ
utilising,servir
erode,éroder
infrastructures,infrastructure
concerned,appartenir
restrictions,restriction
rush,hâte
fora,forum
authorisation,autorisation
Malta,Malte
low,bas
requisite,besoin
extending,creuser
beneficiaries,bénéficiaire
framework,cadre
alternative,alternative
questions,question
sister,infirmière
Furthermore,de_plus
wind,vent
life,existence
registered,enregistrer
disadvantage,désavantage
marine,Marine
debate,argument
fabric,chiffon
assessments,estimation
Puritan,puritain
challenging,contredire
willing,volition
All,tout
ratify,infirmer
types,genre
shareholders,actionnaire
wrought,faire
asks,demander
Monday,lundi
entire,étalon
attached,attacher
widely,amplement
tighten,attacher
reformed,réforme
causes,cause
contents,contenu
observations,observation
was,wa
organise,administrer
assuring,assurer
hears,entendre
recourse,aide
intended,avoir_l'intention
policy,politique
price,coût
Tom,chat
wish,désir
air,air
accession,accroissement
damaging,détériorer
method,méthode
investment,investissement
vertical,vertical
respectfully,respectueusement
incident,incident
managers,administrateur
layoffs,dégraissage
Protection,protection
effecting,effectuer
learns,acquérir
incidents,incident
tackling,entreprendre
culture,civilisation
Paul,Alice_Paul
enrichment,enrichissement
transit,théodolite
highlights,évidence
safest,coffre-fort
cubic,cube
meeting,abord
drains,assèchement
network,réseau
wealth,fortune
negotiations,dialogue
Canada,Canada
19,19
sovereignty,souveraineté
strategic,stratégique
slow,décélérer
restrict,abréger
Budapest,budapest
expansion,accroissement
visitors,visiteur
endeavouring,efforcer
drivers,chauffeur
description,description
controversial,controversé
liability,passif
representatives,mandataire
UK,Britain
roughly,à_peu_près
surrendering,abandonner
deprived,priver
triumphed,dominer
suggest,conseiller
deeper,profond
Year,an
angles,angle
heart,cœur
havoc,bagarre
irregularity,anormalité
fourth,quart
beef,bœuf
implementation,application
updated,actualiser
contribution,action
lending,emprunt
membership,rang
let,filet
concept,concept
crashes,choc
practically,presque
aided,aider
guardian,défenseur
pleasant,agréable
oppose,résister
prohibition,défense
confirmed,accoter
month,mois
thanking,remercier
parties,parti
source,début
calculations,calcul
satisfaction,contentement
dream,rêve
Tibetan,Tibétain
catholic,catholique
coherent,logique
accidents,accident
unfortunately,fâcheusement
openly,ouvertement
stop,arrêt
inhaled,aspirer
varies,changer
history,histoire
cohesion,cohérence
rationally,rationnellement
awareness,connaissance
many,beaucoup
accords,accord
Aiming,entraîner
harbour,abriter
avoid,éviter
permission,autorisation
pointing,désigner
dared,oser
honourable,honorable
Countries,contrée
ammunition,balle
systematic,systématique
employers,employeur
disputing,contredire
gesture,geste
Stream,courant
crux,Croix_du_Sud
unequal,inégal
economics,économie
helped,aider
subsidies,subside
rely,avoir_foi
relationships,lien
use,coutume
offset,début
between,entre
expeditiously,efficacement
attaining,aboutir
families,famille
worries,ennui
unequivocally,clairement
texts,texte
insecurity,Fear
destruction,destruction
recruitment,recrutement
now,maintenant
accused,accusé
repercussions,conséquence
mentioned,appeler
fuel,carburant
told,affirmer
require,demander
Steel,acier
prosecute,poursuivre
conferences,conférence
owing,devoir
entered,entrer
regime,gouvernement
praise,cantique
decentralised,décentraliser
September,Sept
beings,être
inquiries,enquête
Ultimately,à_la_fin
pulled,tirer
solution,solution
checking,vérifier
infected,infecter
linked,associer
prepared,fixer
widen,élargir
annually,annuel
enabled,activer
affirming,accoter
localised,endroit
preaching,discours
schemes,projet
reluctantly,contrecœur
throw,jet
presenting,exposer
misappropriation,détournement
refer,appeler
form,forme
infringement,infraction
negotiating,négocier
lambs,agneau
assassinated,assassiner
Essentially,basiquement
income,revenu
Therefore,ainsi
opinions,avis
unable,incapable
stretched,étendre
Guide,guide
eligible,éligible
coordination,coordination
White,Blanc
seemed,avoir_l’air_de
better,meilleur
begin,Menahem_Begin
combating,bataille
outlining,ébauche
weaknesses,carence
Sweden,le_Royaume_de_Suède
giving,cadeau
emerged,donner
surely,absolument
act,acte
reforms,réforme
by,auparavant
wit,humeur
congratulate,compliment
Republic,communauté
Appointment,désignation
violations,délit
accompanied,accompagner
taxpayer,contribuable
III,10
distinguished,différencier
worse,pire
car,auto
behalf,soutien
relations,rapport
neglecting,dédaigner
demographic,démographique
Nations,contrée
abandoned,abandonner
involvement,accordailles
closely,étroitement
spaces,espace
Fourthly,quarto
equilibrium,équilibre
exacerbated,empirer
grade,classe
statement,déclaration
enough,assez
abide,accomplir
countries,contrée
extend,creuser
presently,bientôt
outcome,dénouement
diversity,diversité
resulted,aboutir
protocols,protocole
living,existence
disaster,catastrophe
sectors,secteur
usual,général
detailed,approfondir
demanded,demander
particularly,exceptionnellement
Networks,réseau
different,différent
sterile,infécond
matched,correspondre
shares,commission
development,développement
shows,démonstration
concludes,conclure
commonplace,banalisation
determining,déterminer
impatient,impatient
independence,indépendance
thinks,penser
importantly,significativement
enterprise,effort
threshold,seuil
recommendations,recommandation
evidently,apparemment
fraud,escroquerie
count,compte
automatically,automatiquement
reversing,devenir
stripped,priver
socially,socialement
voting,élire
endlessly,infiniment
predict,prédire
impossible,impossible
harshly,durement
focus,focalisation
sleeves,arme
memories,mémoire
additives,additif
science,science
packaging,emballage
number,nombre
stifle,genou
weight,poids
Socialist,socialiste
countryside,campagne
loaded,charger
partnerships,collaboration
mayors,bourgmestre
conclude,conclure
model,cadre
belatedly,tard
ABB,ABB
plane,aéroplane
permanent,permanent
globally,globalement
services,armée
revolution,révolution
alleviate,apaiser
zone,région
conferred,conférer
offshoots,branche
nine,10
internal,intérieur
imagine,contempler
actual,actuel
conceal,cacher
24,vingt-quatre
consolidate,consolider
matches,allumette
happen,arriver
notification,notification
Presidency,administration
net,cyberespace
Development,développement
votes,élire
appointment,désignation
jurisdiction,juridiction
social,sociable
copy,copie
affected,affecter
Forestry,foresterie
dramatic,dramatique
announced,annoncer
proves,professeur
good,bon
tide,marée
purposes,but
reputation,honorabilité
service,service
angry,en_colère
contaminated,contaminer
hundreds,100
particular,particulier
staff,personnel
safer,coffre-fort
consider,considérer
unnecessarily,inutilement
offices,bureau
candidate,candidat
impacts,impact
Midlands,Midland
Within,dedans
spends,occuper
efficient,compétent
flies,flies
learn,acquérir
Valdez,Valdez
supplements,addendum
list,liste
defendant,défendeur
locating,emplacement
spending,déboursement
ruled,administrer
banks,banks
deadline,date
environmentally,écologiquement
spend,occuper
ad,annonce
warned,alerter
salt,sel
utterly,absolument
survey,étude
blow,coup
urban,urbain
pass,but-sur-balles
catastrophe,calamité
attain,aboutir
Objective,cible
signs,point
cuts,trancher
pillory,giroflées
undertook,assumer
credibility,crédibilité
foreign,étranger
implements,instrument
sorrow,chagrin
spread,propagation
records,enregistrement
cycles,cycle
forty,quarante
simplify,réduire
option,choix
allowing,laisser
commented,apercevoir
TV,télé
remarked,apercevoir
started,commencer
differ,différer
young,jeune
grow,devenir
determinedly,immuablement
barely,à_peine
Corpus,corpus
escaped,échapper
compassion,compassion
deem,assimiler
overriding,renverser
informed,informer
occurred,arriver
Left,gauche
deadlock,arrêt
economies,activité_économique
gift,cadeau
effectively,activement
regretted,lasser
utilisation,coutume
demanding,demander
however,cependant
trying,chercher
Directive,directive
galvanise,abasourdir
commendation,approbation
cut,trancher
hearing,jugement
bombs,bombardement
consistently,automatiquement
seventeen,dix-sept
nonetheless,cependant
clarification,clarification
plan,plan
essence,centre
comfort,confort
makeup,fard
shown,exposer
training,éducation
dismantled,abattre
disregarding,bouder
refusal,abjuration
holidaymakers,touriste
Over,relais
live,demeurer
allotted,allouer
competitive,compétitif
Finland,Finlande
entrepreneurial,entrepreneurial
send,envoyer
Decisions,conclusion
reduce,diminuer
decisions,conclusion
same,same
accedes,admettre
created,créer
sack,sac
entry,accès
intrinsically,en_soi
half-hour,demi-heure
20,vingt
dossiers,dossier
central,autocommutateur
factors,facteur
rose,rosier
complete,achever
judge,juge
launch,lancement
couple,couple
specialist,spécialiste
reservation,réservation
reforming,réforme
exchange,échange
gathering,rassemblement
logging,bucheronnage
climates,climat
Right,droit
devastated,dévaster
squeezed,courge
carefully,attentivement
improvements,amélioration
Here,ici
suggesting,conseiller
remember,penser
Not,ne
dossier,dossier
safeguards,préservation
greeting,salut
international,international
snowballing,boule_de_neige
drawing,dessin
marginalised,marginaliser
acquitted,accomplir
penalty,châtiment
files,fichier
used,servir
missions,mission
elsewhere,ailleurs
creation,création
lorries,camion
witness,informateur
represented,correspondre
taught,apprendre
urge,impulsion
remained,demeurer
balance,équilibre
usefulness,utilité
prize,prix
refuge,refuge
had,avoir
robust,robuste
utmost,extrême
scheme,projet
Madam,dame
Forms,forme
ruling,arrêt
rid,éliminer
improved,améliorer
overturned,renverser
light,lumière
perfectly,absolument
takes,commission
advisers,conseiller
afford,être_en_mesure_de
serious,grave
jeopardy,danger
reinstatement,rétablissement
theme,matière
objective,cible
wrote,composer
composed,composer
legislate,donner
random,aléatoire
defines,définir
solidarity,solidarité
reason,cause
seldom,rarement
larvae,larve
broad,général
solely,exclusivement
freeze,congélation
inadequate,inadéquat
Lending,emprunt
boundaries,frontière
mild,doux
become,devenir
literacy,alphabétisation
inequalities,inégalité
rather,au_lieu_de
5,10
did,aller
marginalisation,exclusion_sociale
storage,stockage
assurances,autorité
manufacturer,fabricant
imprisons,emprisonner
keep,gagne-pain
intervals,intervalle
explanation,compte
investigate,enquêter
victims,victime
institutions,établissement
authors,auteur
experienced,comprendre
am,am
Kyoto,Kyoto
organisation,administration
relativises,relativiser
port,port
equipment,équipement
Bravery,abattage
points,point
goes,aller
uniform,uniforme
opinion,avis
Structural,structurel
vigilance,vigilance
Central,autocommutateur
exile,bannissement
Stockholm,Stockholm
nearly,pratiquement
However,cependant
said,affirmer
months,mois
Yugoslavia,Serbie-et-Monténégro
removing,enlever
too,abusivement
explicit,clair
spiralling,spirale
commenting,apercevoir
opposite,antonyme
skills,accomplissement
requires,demander
notifications,notification
fire,feu
appraisal,estimation
autobiography,autobiographie
shocked,abasourdir
prey,butoir
reaction,réaction
belief,conviction
self-seeking,opportunisme
sum,montant
College,académie
developing,développement
register,greffe
remaining,demeurer
dissolved,dissoudre
assessment,estimation
facilitate,faciliter
transferred,transférer
Industry,industrie
Basque,basque
overstate,agrandir
is,être
e-mail,courriel
Europeans,Européen
slim,mince
Recommendations,recommandation
majority,majorité
requirements,besoin
faith,foi
date,date
supposedly,censément
prohibited,interdire
qualifications,qualification
Japan,Archipel_japonais
probability,probabilité
capitalisation,capitalisation
achieving,aboutir
hard,ardu
exceptionally,exceptionnellement
crimes,crime
explained,expliquer
theory,théorie
ascertaining,déterminer
adjourned,fermer
ability,aptitude
embroiled,balayer
competently,compétence
argued,affirmer
farming,agriculture
PT,platine
according,correspondre
fundamentally,basiquement
harm,blessure
constraint,contrainte
examine,analyser
story,histoire
avenue,avenue
hampered,crampe
cornerstones,base
hypocrisy,hypocrisie
actively,activement
territories,circonscription
disregarded,bouder
loading,charge
second,s
professional,professionnel
procedure,procédure
redundancies,redondance
communication,communication
floods,déluge
initiated,commencer
effects,bien_personnel
preparing,fixer
avalanches,avalanche
manoeuvre,manœuvre
players,joueur
ins,INS
flexibly,flexiblement
West,nord-ouest
expects,anticiper
wood,bois
Task,entreprise
Treaty,accommodement
period,durée
perceive,comprendre
Has,ha
highest,élevé
scarcely,à_peine
acceding,admettre
confirm,accoter
denounces,dénoncer
entailing,comporter
roads,rade
stock,action
agent,agent
nationally,nationalement
party,parti
Norway,Haram
raises,augmentation
spoken,exprimer
agreed,être_d'accord
normally,banalement
motion,geste
rule,gouvernement
belong,appartenir
discover,analyser
seas,mer
resolutely,résolument
criticised,critiquer
scoreboard,panel
geared,adapter
developments,développement
operated,courir
speed,allure
attended,assister
area,aire
exponential,exponentiel
defending,aider
back,dos
components,composant
modernise,développer
Memorandum,mémorandum
ewes,Ernest_Gagnon
signed,abonner
formulated,développer
delimitation,frontière
leave,congé
province,état
acted,agir
rightly,bien
October,octobre
press,oppression
pay,gaine
highlight,évidence
origin,début
interested,intéresser
assisted,aider
Annual,annuel
Thursday,czwartek
technically,techniquement
specify,condition
vested,attribuer
offences,attaque
cat,chat
fall,automne
providing,fournir
participation,accordailles
favourites,favori
loophole,échappatoire
endangering,compromettre
conduct,comportement
constitute,constituer
see,voir
men,actif
insensitive,insensible
immediately,aussitôt
Romanian,Roumain
borne,ours
plain,champ
II,1
syndrome,syndrome
banning,banning
Code,code
Region,partie
adequately,adéquatement
advisors,conseiller
shocking,abasourdir
prolonged,prolonger
paradox,antinomie
Beyond,au-delà
Heads,tête
accountability,correspondance
becomes,devenir
order,ordre
born,born
intend,avoir_l'intention
affecting,affecter
seems,avoir_l’air_de
suggested,conseiller
incentive,incitation
Ministers,curé
Birds,oiseau
understanding,abord
Matters,affaire
English,anglais
woefully,lamentablement
sadly,malheureusement
legitimate,légaliser
separate,séparer
desperately,cruellement
ceiling,plafond
equality,égalité
Act,acte
Palermo,Palerme
opportune,opportun
furthermore,de_plus
Calls,appel
acquire,acquérir
partnership,collaboration
lot,amas
experts,expert
fisheries,pêche
can,boîte
attack,assaut
masses,foule
treaties,accommodement
criminal,criminel
suggestions,suggestion
typologies,typologie
chairmen,président
boats,bateau
histories,histoire
Tower,tour
